complex_id_number,structure_name,longitude,latitude,serialid
90028,A,-92.96392415,27.93867412,612
22521,1,-91.789243,29.377253,613
22591,3,-91.800708,29.372953,614
22640,4,-91.787508,29.369837,615
22700,A,-91.792874,29.370701,616
22700,A2,-91.792998,29.370956,617
22700,B-QTR,-91.792649,29.370231,618
1816,D,-91.78423281,29.37589817,619
2003,E,-91.7687249,29.38359578,620
2059,F,-91.78170291,29.3704068,621
2253,G,-91.77993143,29.3823205,622
2253,G-AUX,-91.77993144,29.38232325,623
2360,I,-91.77606379,29.38884731,624
2103,H,-91.75290604,29.37895317,625
2103,H-AUX,-91.75290604,29.37895317,626
2103,H-CMP,-91.75298321,29.37863667,627
26021,A,-91.717781,29.339283,628
22342,2,-91.771613,29.359826,629
22550,3,-91.786956,29.357538,630
22681,5,-91.792584,29.36642,631
22680,7,-91.799104,29.36635,632
22771,A,-91.779683,29.355288,633
22771,A-AUX,-91.77986754,29.35525767,634
1178,C,-91.78587562,29.35728029,635
1079,CAIS.B,-91.78899884,29.36429303,636
23267,188,-91.851808,29.317962,637
22350,2,-91.84679,29.292092,638
23319,5,-91.850867,29.323535,639
23577,6,-91.846035,29.31496,640
23903,8,-91.840639,29.312019,641
2376,No.2,-91.8485959,29.30842589,642
21503,4,-91.788381,29.320062,643
22241,8,-91.78774,29.319817,644
1228,A,-91.78302989,29.31623063,645
23558,1,-91.71475686,29.30325421,646
23559,2,-91.722882,29.301393,647
23940,4,-91.715061,29.301669,648
23587,A,-91.71755,29.300218,649
2384,Caisson No.6,-91.72879265,29.29757497,650
2170,2,-91.70697115,29.29930842,651
23302,4,-91.693953,29.303118,652
1465,A,-91.68778152,29.32696536,653
32012,2(PLTF.B,-91.65039437,29.30598917,654
232,C,-91.65131513,29.30051991,655
232,C-AUX,-91.65134961,29.30051158,656
23904,JA,-91.627259,29.298483,657
2169,1,-91.58744507,29.30087967,658
20657,1,-91.541626,29.309828,659
20696,10,-91.52289982,29.31244457,660
20692,12,-91.531268,29.307643,661
20702,14,-91.543016,29.299374,662
20698,15,-91.523262,29.304767,663
20664,16,-91.529297,29.302503,664
20665,17,-91.539499,29.305705,665
20663,18,-91.531561,29.297332,666
20661,19,-91.526539,29.295965,667
20695,20,-91.529698,29.30696,668
20699,21,-91.545451,29.305561,669
20674,22,-91.532113,29.310026,670
21798,23,-91.53584,29.311223,671
21798,24,-91.535692,29.311301,672
21798,25,-91.535548,29.311405,673
21798,26,-91.53540109,29.31151009,674
20701,27,-91.52949682,29.30053659,675
26053,28,-91.547596,29.320128,676
21798,30,-91.53568011,29.31140241,677
20697,4,-91.533249,29.309924,678
20700,5,-91.529705,29.310919,679
20659,6,-91.539013,29.305461,680
20660,7,-91.533546,29.317431,681
20662,8,-91.527196,29.311445,682
20694,9,-91.52893,29.31576,683
21798,A,-91.536375,29.31081,684
21798,A-PRD,-91.536689,29.310809,685
21798,A-QRT,-91.536375,29.310535,686
21798,A-TNK,-91.536062,29.31081,687
32038,CAIS.#29,-91.53561753,29.31148501,688
20658,D,-91.53585271,29.31453165,689
20658,D-HEL,-91.53585216,29.31425665,690
20658,D-MET,-91.53585216,29.31425665,691
20701,E,-91.52968549,29.30077019,692
20701,E-CRANE,-91.52999921,29.30076972,693
20701,E-PRD,-91.52968603,29.30104519,694
20721,F PROD,-91.53463606,29.30707667,695
20721,F-CMP,-91.534356,29.306604,696
20721,F-TANK,-91.53467,29.306603,697
20721,F-TRT,-91.534042,29.306604,698
516,GM-VALVE,-91.53843301,29.31357063,699
20693,H,-91.525714,29.307211,700
22638,1,-91.515151,29.316495,701
21509,11,-91.502421,29.317995,702
23288,2,-91.518755,29.327597,703
23320,3,-91.519672,29.324898,704
26055,4,-91.517327,29.319212,705
